name	arabicName	scientificName	price	imageUrl	categoryName	company	route
ABILIFY 15 MG 10 TABS.	أبيليفي	ARIPIPRAZOLE	330.5	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/abilify-15-mg-10-tablets-956297.jpg?v=1729196907	PSYCHIATRIC.ANTIPSYCHOTICS	OTSUKA	ORAL.SOLID
ABILIFY 5 MG 10 TABS.	أبيليفي	ARIPIPRAZOLE	134.5	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abilify-5-mg-10-tablets-9172616.jpg?v=1762508400	PSYCHIATRIC.ANTIPSYCHOTICS	OTSUKA	ORAL.SOLID
ABIMOL 500 MG 20 TAB.	أبيمول	PARACETAMOL(ACETAMINOPHEN)	24.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/abimol-500-mg-20-tablets-7308198.jpg?v=1764283687	ANTIPYRETIC	GLAXO SMITHKLINE	ORAL.SOLID
ABIMOL EXTRA 20 TAB.	أبيمول إكسترا	CAFFEINE+PARACETAMOL(ACETAMINOPHEN)	28.0	https://demov2.egypt.dawatech.com/web/image/product.template/16570/image_1920	ANALGESIC.ANTIPYRETIC	GLAXO SMITHKLINE	ORAL.SOLID
ACETOTHYME 10 SACHETS	أسيتوثيمي	N-ACETYL L-CYSTEINE+THYME+VITAMIN C	65.0	https://demov2.egypt.dawatech.com/web/image/product.template/15716/image_1920	MUCOLYTIC SOOTHING AGENT AND ANTIOXIDANT	COPAD EGYPT > ADVOCURE PHARMACEUTICALS	EFF
ACHTENON 2 MG 30 TABS.	أتشتينون	BIPERIDENE	51.0	https://demov2.egypt.dawatech.com/web/image/product.template/13778/image_1920	ANTIPARKINSON AGENTS. MUSCARINIC ANTAGONIST	ARAB DRUG COMPANY (ADCO)	ORAL.SOLID
ACNEVERA SOAP 80 GM	أكنيفيرا سواب	ALOE VERA+ZINC OXIDE+SALICYLIC ACID+SULPHUR+RESORCINOL	65.0	https://demov2.egypt.dawatech.com/web/image/product.template/13303/image_1920	ANTI-ACNE	HI-CARE > ROVAMED PHARMA	SOAP
ACTI-COLLA ADVANCE 30 SACHETS	أكتي-كوللا أدفانسي	GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+TURMERIC+BLACK PEPPER	990.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/acti-colla-c-advanced-30-sachets-269671.jpg?v=1715404821	ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS	EVA PHARMA	EFF
ACTI-COLLA-C 10 SACHETS	أكتي-كوللا-ك	GELATIN (COLLAGEN) HYDROLYSATE+VITAMIN C+ROSEHIP EXTRACT	288.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/acti-colla-c-10-sachets-277264.jpg?v=1695227438	ANTI-RHEUMATIC.OSTEOARTHRITIS.ANABOLIC AGENTS	EVA PHARMA	EFF
ACTIFAST 50 MG 30 F.C.TAB.	أكتيفاست	DICLOFENAC POTASSIUM	39.0	https://demov2.egypt.dawatech.com/web/image/product.template/17101/image_1920	NSAID.ACETIC ACID DERIVATIVES	SIGMA > OCTOBER PHARMA	ORAL.SOLID
